"","normal","ZP:0000043","ZP:0000054","ZP:0000100","ZP:0000102","ZP:0000107","ZP:0000122","ZP:0000306","ZP:0000398","ZP:0000473","ZP:0000624","ZP:0000916","ZP:0000943","ZP:0001129","ZP:0001130","ZP:0001192","ZP:0001211","ZP:0001601","ZP:0001609","ZP:0001610","ZP:0001696","ZP:0002008","ZP:0002060","ZP:0002311","ZP:0002676","ZP:0002944","ZP:0003437","ZP:0003678","ZP:0004969","ZP:0005012","ZP:0005125","ZP:0005930","ZP:0006124","ZP:0007203","ZP:0009010","ZP:0010319","ZP:0012799","ZP:0014550","ZP:0015011","ZP:0015121","ZP:0016092","ZP:0016128","ZP:0019090","ZP:0109741","Pi"
"1",0,2,1,2,2,1,0,0,0,1,0,1,4,0,0,14,4,1,5,1,5,0,9,0,2,1,0,0,2,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0.0807726075504829
"2",0,2,1,2,2,0,0,0,4,1,3,0,2,1,1,15,4,6,4,0,4,0,6,0,3,1,0,0,0,0,0,0,0,8,0,0,1,4,0,4,1,0,0,2,0.0632339656729901
"3",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.507352941176471
"4",0,1,1,2,2,1,0,0,0,0,0,1,4,0,0,12,5,0,4,1,4,2,5,0,3,3,4,0,4,1,0,0,1,10,3,1,1,5,0,0,0,0,0,2,0.0540699382897444
"5",0,2,1,2,2,1,0,0,0,1,0,1,4,0,0,15,5,1,4,1,3,2,9,0,1,1,0,0,2,0,0,0,0,7,0,0,0,4,0,2,0,1,0,0,0.0778560250391236
"6",0,1,2,4,2,0,0,2,4,4,0,0,5,1,1,13,4,5,3,1,4,0,7,0,3,2,3,0,6,1,0,0,1,9,1,5,1,5,0,1,2,0,1,6,0.041534612176814
"9",0,3,2,3,2,1,0,0,0,5,0,1,5,0,2,15,4,0,4,1,5,0,10,0,5,1,4,0,2,1,0,2,1,9,0,0,1,5,0,0,0,1,0,3,0.0563854407742478
"10",0,0,0,0,2,1,0,0,0,5,0,0,0,0,4,0,4,2,0,0,3,0,2,0,2,1,4,0,3,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0.0512820512820513
"11",1,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0,5,0,3,0,2,0,0,0,0,0,2,0,0,3,0,0,1,1,0,2,0,0,0,0,0.0528735632183908
"12",4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.0995670995670996
"13",0,0,1,1,2,0,2,0,1,1,10,0,1,0,0,8,5,4,2,1,4,0,3,0,4,1,4,0,3,3,0,2,1,9,3,0,1,5,0,1,0,0,1,8,0.0470616340181558
"14",0,3,1,2,2,1,0,0,0,6,0,1,5,0,2,15,4,0,4,1,3,0,7,0,5,1,3,0,1,0,0,0,0,7,0,0,1,5,0,0,0,0,0,1,0.0666666666666667
"15",0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,15,6,0,1,1,4,0,4,0,8,1,4,0,0,1,0,0,1,5,3,2,0,3,0,0,2,0,0,3,0.0834064969271291
"16",0,3,2,2,2,1,0,0,0,6,0,1,6,1,2,15,5,3,5,1,4,0,9,0,4,3,2,0,6,0,0,0,0,10,0,0,1,4,0,1,1,0,0,4,0.0539581777445855
"17",1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,4,0,3,1,0,0,0,0,0,0,1,9,0,0,1,2,0,1,1,0,0,0,0.0809716599190283
"18",1,0,1,2,2,0,0,0,0,5,9,0,4,0,1,6,4,2,3,1,4,0,5,0,3,1,4,0,3,2,0,0,1,6,2,1,1,5,0,1,2,0,0,7,0.0398365679264556
"19",0,0,1,1,2,0,0,0,0,6,0,1,0,0,2,15,5,0,4,0,4,0,4,0,2,1,4,0,1,0,0,0,0,7,0,0,1,4,0,0,0,0,0,3,0.082089552238806
"20",0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,15,5,0,5,0,4,0,3,0,1,1,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0.139685476410731
"21",4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.0760869565217391
"22",0,2,2,4,2,2,0,0,1,2,0,0,5,0,0,4,4,6,5,1,4,0,7,1,4,1,2,0,1,3,0,0,1,7,3,2,1,5,0,2,1,0,1,8,0.0363761153054221
"23",0,0,1,1,2,0,0,0,0,6,0,0,0,0,2,14,5,1,4,0,4,0,5,0,2,1,3,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0.087431693989071
"24",0,0,1,3,2,0,0,0,0,0,0,0,3,0,0,2,5,0,2,1,5,0,4,0,0,1,2,0,4,3,0,0,0,10,3,0,1,6,1,0,0,0,0,5,0.058531746031746
"25",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.426470588235294
"26",4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0789473684210526
"Total",38,19,23,36,41,10,2,2,11,52,22,7,53,3,17,197,88,31,70,13,81,4,115,3,61,24,43,1,38,15,2,6,9,143,18,13,16,80,1,15,10,2,3,52,
"pj",0.025503355704698,0.012751677852349,0.0154362416107383,0.0241610738255034,0.0275167785234899,0.00671140939597315,0.00134228187919463,0.00134228187919463,0.00738255033557047,0.0348993288590604,0.0147651006711409,0.00469798657718121,0.0355704697986577,0.00201342281879195,0.0114093959731544,0.132214765100671,0.0590604026845638,0.0208053691275168,0.0469798657718121,0.0087248322147651,0.0543624161073825,0.00268456375838926,0.0771812080536913,0.00201342281879195,0.0409395973154362,0.0161073825503356,0.0288590604026846,0.000671140939597315,0.025503355704698,0.0100671140939597,0.00134228187919463,0.00402684563758389,0.00604026845637584,0.0959731543624161,0.0120805369127517,0.0087248322147651,0.010738255033557,0.0536912751677852,0.000671140939597315,0.0100671140939597,0.00671140939597315,0.00134228187919463,0.00201342281879195,0.0348993288590604,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kappa",0.0491505539139269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
